timestep:         0.0127065600000000
yAxisLabel:velocity [m/s]       
title:bogies velocity   
vv1,    vv2,    
  0.0006675431302412,  0.0077279412581401,
  0.0004385026401536,  0.0074598846007071,
  0.0002316122013173,  0.0072129122893142,
  0.0000343866658874,  0.0070066551947357,
 -0.0001672877116584,  0.0068590834885153,
 -0.0004273693308542,  0.0068229377929641,
 -0.0007536014783643,  0.0068991401896429,
 -0.0011222880496977,  0.0070516784267863,
 -0.0014312424568910,  0.0071613083750320,
 -0.0016264274379488,  0.0071544099461263,
 -0.0016744788550584,  0.0069772912476134,
 -0.0015641064096749,  0.0065994008910328,
 -0.0012631534856243,  0.0059721399036667,
 -0.0007762629417758,  0.0050883654654229,
 -0.0001180757714957,  0.0039566671289093,
  0.0006091578354131,  0.0026797672019225,
  0.0013038491123920,  0.0013657615085239,
  0.0018521275830550,  0.0001394682027826,
  0.0021892627159843, -0.0009205299549746,
  0.0022341155286752, -0.0017166164457473,
  0.0019750440938783, -0.0022182014234974,
  0.0014511598750964, -0.0024435353277448,
  0.0007660725661326, -0.0024751522417008,
  0.0000008562597225, -0.0023747214892105,
 -0.0007506188552184, -0.0022190454590803,
 -0.0014325323048638, -0.0020489757849872,
 -0.0019700824994187, -0.0019282787831040,
 -0.0023448895314512, -0.0018705650347770,
 -0.0025524060570599, -0.0018818161823161,
 -0.0026063982825077, -0.0019544391610706,
 -0.0024959601623391, -0.0021101534211549,
 -0.0022515307935441, -0.0023331028294055,
 -0.0019070381495982, -0.0026056903183947,
 -0.0015370498659762, -0.0028702574146104,
 -0.0011848215281297, -0.0031005929980972,
 -0.0009087002428747, -0.0032539401359362,
 -0.0007262090036009, -0.0033270404894531,
 -0.0006581162010338, -0.0033134282294358,
 -0.0006927627813979, -0.0032383439872331,
 -0.0008149805167470, -0.0031273811459062,
 -0.0009813569314970, -0.0030306723679261,
 -0.0011894407624020, -0.0029542725683700,
 -0.0014294954437105, -0.0029081219769301,
 -0.0017277235923404, -0.0028611511901802,
 -0.0021019289340722, -0.0027857159932286,
 -0.0025956714613612, -0.0026248851669423,
 -0.0032180142143760, -0.0023540286462543,
 -0.0039743875164847, -0.0019519030692037,
 -0.0048321423584069, -0.0014376620536448,
 -0.0057791077043558, -0.0008133060409337,
 -0.0067764170969993, -0.0001106615619647,
 -0.0077903579750475,  0.0006408542085813,
 -0.0087327555131802,  0.0013538304842235,
 -0.0095176454954436,  0.0019394010924749,
 -0.0100737602598264,  0.0023216333458613,
 -0.0103818753829121,  0.0024779625114436,
 -0.0104288778936844,  0.0023939849310411,
 -0.0102402783835450,  0.0020939624475633,
 -0.0098134179615451,  0.0015728008485443,
 -0.0091630822601598,  0.0008430366772914,
 -0.0082822545022404, -0.0001040715568633,
 -0.0072034067924707, -0.0012381275235368,
 -0.0059790054793000, -0.0025097980812318,
 -0.0047096568988546, -0.0038225780007472,
 -0.0034974296899608, -0.0050789867723379,
 -0.0024568383655942, -0.0061684589295601,
 -0.0016720832197363, -0.0070097840499922,
 -0.0012201974085693, -0.0075283455091343,
 -0.0010975176593917, -0.0077295552874261,
 -0.0012763732194451, -0.0076405861648842,
 -0.0016857958397018, -0.0073285366865605,
 -0.0022744983986806, -0.0068372239291920,
 -0.0029729154214457, -0.0062258241138282,
 -0.0037047088805983, -0.0055586063655872,
 -0.0043715648204981, -0.0049211086280017,
 -0.0049242805617675, -0.0043494752838321,
 -0.0053299849116596, -0.0038651185187172,
 -0.0055880841969576, -0.0034607908614671,
 -0.0056841014747501, -0.0031476626131966,
 -0.0056108106480806, -0.0029341572838425,
 -0.0053353635839998, -0.0028585030860491,
 -0.0048465841608057, -0.0029397285417354,
 -0.0041277884897721, -0.0032025228804685,
 -0.0031851856381031, -0.0036475888090307,
 -0.0020237832022944, -0.0042764499576220,
 -0.0006921519174690, -0.0050465018950921,
  0.0007513432307499, -0.0059036586358313,
  0.0022132038799051, -0.0067570382101972,
  0.0035913888028868, -0.0075067704553428,
  0.0047464300156107, -0.0080157220297785,
  0.0055797912014197, -0.0081880299270770,
  0.0060333044532925, -0.0079682592316649,
  0.0061271087466409, -0.0073792561273582,
  0.0059080179151937, -0.0064704455837688,
  0.0054323272897843, -0.0053010332725475,
  0.0047476934943836, -0.0039218605872501,
  0.0039350772282652, -0.0024172097150993,
  0.0030747034274090, -0.0008716307567040,
  0.0022709221461420,  0.0006039224917540,
  0.0015972153816190,  0.0019276983294278,
  0.0011159381005928,  0.0030285443809374,
  0.0008484591498491,  0.0038767472727180,
  0.0008088889414804,  0.0044509279739204,
  0.0009845137746734,  0.0047579376380369,
  0.0013602800043964,  0.0048090563742272,
  0.0018906156119547,  0.0046494397181847,
  0.0025286366062684,  0.0043283111932772,
  0.0032053570662987,  0.0039176540285729,
  0.0038886312512236,  0.0034520888510924,
  0.0045615654997582,  0.0029510999587293,
  0.0052343783602511,  0.0024069643236439,
  0.0059114571467062,  0.0018168518905782,
  0.0066007287170631,  0.0011736616772669,
  0.0072836951577005,  0.0004971561749832,
  0.0079436705991833, -0.0001939503509329,
  0.0085195022198697, -0.0008358709124149,
  0.0089498993879159, -0.0013642009552820,
  0.0091782811160426, -0.0017185093277403,
  0.0091899085884100, -0.0018798251140053,
  0.0089726346603213, -0.0018320651351528,
  0.0085437551643442, -0.0015894137542834,
  0.0079366837866604, -0.0011827109682268,
  0.0072125344489814, -0.0006709688812761,
  0.0064182815735773, -0.0000995631374447,
  0.0056107914895738,  0.0004762538927715,
  0.0048316430166381,  0.0010179489273792,
  0.0041382920025959,  0.0014735633161772,
  0.0035655353093760,  0.0018168689344218,
  0.0031439194090394,  0.0020287238595889,
  0.0028910055509387,  0.0021050981367081,
  0.0028313819933448,  0.0020363264782537,
  0.0029719599707337,  0.0018315834761702,
